sku,price,fully_qualified_name,active,for_sale,product_type,incremental_order_quantity,pack_size,pack_size_qty,weight,weight_units
NB-CASH-CHAI-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Cashew Butter & Chai Spice",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-ALM-TCO-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Almond Butter & Toasted Coconut",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-ALM-PPEC-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Almond Butter & Peanut Pecan",True,True,inventory_assembly,1,2/13oz Pack,,3,lb
NB-ALM-PNUT-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Almond Butter & Peanut Butter",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-ALM-MPC-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Almond Butter & Maple Cinnamon",True,True,inventory_assembly,1,2/13oz Pack,,3,lb
NB-ALM-MAMBA-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Almond Butter & Hot Mamba",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-ALM-FGIN-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Almond Butter & Fiji Ginger",True,True,inventory_assembly,1,2/13oz Pack,,3,lb
NB-ALM-CSS-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Almond Butter & Chocolate Sea Salt",True,True,inventory_assembly,1,2/13oz Pack,,3,lb
NB-ALM-CASH-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Almond Butter & Cashew Butter",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-ABJ-2PACK,0,"Nut Butter, AB&J 2-Pack 13 oz Jar",True,True,inventory_assembly,1,2/13oz Pack,,0,
NB-WAG-13OZ-2PACK,0,"Nut Butter, 2-Pack 13 oz Jar:Wag Butter",True,True,inventory_assembly,1,2/13oz Pack,,0,
NB-TCO-13OZ-2PACK,0,"Nut Butter, 2-Pack 13 oz Jar:Toasted Coconut",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CSS-13OZ,4.7,Chocolate Sea Salt Nut Butter:13 oz Jar,True,True,inventory_assembly,6,13 oz Jar,,17,oz
NB-CSS,0,Chocolate Sea Salt Nut Butter,True,True,inventory_assembly,1,,,0,
NB-CHAI-SCRAP,0,Chai Spice Nut Butter:NB Scrap - 1 oz,True,True,inventory_assembly,1,1 oz,,1,oz
NB-CHAI-8LB,27.59,Chai Spice Nut Butter:8# Bucket,True,True,inventory_assembly,1,8# Bucket,,11,lb
NB-CHAI-4LB,14.24,Chai Spice Nut Butter:4# Bucket,True,True,inventory_assembly,1,4# Bucket,,6,lb
NB-CHAI-3OZ,1.23,Chai Spice Nut Butter:3 oz Jar,True,True,inventory_assembly,12,3 oz Jar,,0,
NB-CHAI-13OZ,3.18,Chai Spice Nut Butter:13 oz Jar,True,True,inventory_assembly,6,13 oz Jar,,17,oz
NB-CSS-4LB,21.59,Chocolate Sea Salt Nut Butter:4# Bucket,True,True,inventory_assembly,1,4# Bucket,,6,lb
NB-CHAI,0,Chai Spice Nut Butter,True,True,inventory_assembly,1,,,0,
NB-CASH-8LB,47.23,Cashew Nut Butter:8# Bucket,True,True,inventory_assembly,1,8# Bucket,,0,
NB-CASH-4LB,24.06,Cashew Nut Butter:4# Bucket,True,True,inventory_assembly,1,4# Bucket,,6,lb
NB-CASH-13OZ,5.18,Cashew Nut Butter:13 oz Jar,True,True,inventory_assembly,6,13 oz Jar,,1.5,lb
NB-CASH,0,Cashew Nut Butter,True,True,inventory_assembly,1,,,0,
NB-ALM-3OZ,0,Almond Nut Butter:3 oz Jar,True,True,inventory_assembly,12,3 oz jar,,0.5,lb
NB-ALM-SCRAP,0,Almond Nut Butter:NB Scrap - 1 oz,True,True,inventory_assembly,1,1 oz,,1,oz
NB-ALM-8LB,34.99,Almond Nut Butter:8# Bucket,True,True,inventory_assembly,1,8# Bucket,,11,lb
NB-CASH-SCRAP,0,Cashew Nut Butter:NB Scrap - 1 oz,True,True,inventory_assembly,1,1 oz,,1,oz
NB-ALM-4LB,17.94,Almond Nut Butter:4# Bucket,True,True,inventory_assembly,1,4# Bucket,,6,lb
NB-CSS-8LB,42.29,Chocolate Sea Salt Nut Butter:8# Bucket,True,True,inventory_assembly,1,8# Bucket,,11,lb
NB-CSS-3OZ,0,Chocolate Sea Salt Nut Butter:3 oz Jar,True,True,inventory_assembly,12,3 oz jar,,0,
NB-JUSTPNUT-1LB,3.03,Just Peanuts Nut Butter:40# Bucket,True,True,inventory_assembly,1,,,0,
NB-TWALK-TRANS-JAR,0,"Nut Butter, Transition Jar Packaging & Labels:Tigerwalk Espresso",True,True,inventory_assembly,1,,,0,
NB-JUSTALM-1LB,0,Just Almonds Nut Butter:1# Bucket,True,True,inventory_assembly,1,,,0,
NB-JUSTALM-8LB,36.11,Just Almonds Nut Butter:8# Bucket,True,True,inventory_assembly,1,8# Bucket,,12,lb
NB-JUSTALM,0,Just Almonds Nut Butter,True,True,inventory_assembly,1,,,0,
NB-GGET-SCRAP,0,GGet Espresso Nut Butter:NB Scrap - 1 oz,True,True,inventory_assembly,1,1 oz,,1,oz
NB-GGET-8LB,42.41,GGet Espresso Nut Butter:8# Bucket,True,True,inventory_assembly,1,8# Bucket,,12,lb
NB-CSS-SCRAP,0,Chocolate Sea Salt Nut Butter:NB Scrap - 1 oz,True,True,inventory_assembly,1,1 oz,,1,oz
NB-GGET-4LB,21.65,GGet Espresso Nut Butter:4# Bucket,True,True,inventory_assembly,1,4# Bucket,,6,lb
NB-GGET,0,GGet Espresso Nut Butter,True,True,inventory_assembly,1,,,0,
NB-FGIN-SCRAP,0,Fiji Ginger Nut Butter:NB Scrap - 1 oz,True,True,inventory_assembly,1,1 oz,,1,oz
NB-FGIN-8LB,38.97,Fiji Ginger Nut Butter:8# Bucket,True,True,inventory_assembly,1,8# Bucket,,11,lb
NB-FGIN-4LB,19.93,Fiji Ginger Nut Butter:4# Bucket,True,True,inventory_assembly,1,4# Bucket,,6,lb
NB-FGIN-3OZ,1.51,Fiji Ginger Nut Butter:3 oz Jar,True,True,inventory_assembly,12,3 oz Jar,,0.5,
NB-FGIN-13OZ,4.37,Fiji Ginger Nut Butter:13 oz Jar,True,True,inventory_assembly,6,13 oz Jar,,17,oz
NB-FGIN,0,Fiji Ginger Nut Butter,True,True,inventory_assembly,1,,,0,
NB-GGET-13OZ,4.69,GGet Espresso Nut Butter:13 oz Jar,True,True,inventory_assembly,6,13 oz Jar,,17,oz
NB-LTD-PEP,0,Limited Batch - Pepperfest Peanut Nut Butter,True,True,inventory_assembly,1,,,0,
NB-ALM-13OZ,3.96,Almond Nut Butter:13 oz Jar,True,True,inventory_assembly,6,13 oz Jar,,17,oz
MERCH-BSR-10OZ-JAR,0,BSR Labeled 10 oz Jar - Case,True,True,inventory_assembly,1,12 Jar Case,12.0,0,
BATCH-GGET,0,BATCH:BATCH-GGET,True,True,inventory_assembly,1,,,0,
BATCH-MAMBA,0,BATCH:BATCH-MAMBA,True,True,inventory_assembly,1,,,0,
BATCH-CASH,0,BATCH:BATCH-CASH,True,True,inventory_assembly,1,,,0,
BATCH-BAR-CP,0,BATCH:BATCH-BAR-CP,True,True,inventory_assembly,1,,,0,
BATCH-BAR-AP,0,BATCH:BATCH-BAR-AP,True,True,inventory_assembly,1,,,0,
BATCH-BAR-CC,0,BATCH:BATCH-BAR-CC,True,True,inventory_assembly,1,,,0,
BATCH-BAR-FC,0,BATCH:BATCH-BAR-FC,True,True,inventory_assembly,1,,,0,
BATCH-ALM,0,BATCH:BATCH-ALM,True,True,inventory_assembly,1,,,0,
BATCH-JUST-PNUT,0,BATCH:BATCH-JUST-PNUT,True,True,inventory_assembly,1,Each,,0,
BATCH-PALM,0,BATCH:BATCH-PALM,True,True,inventory_assembly,1,,,0,
BATCH-PNUT,0,BATCH:BATCH-PNUT,True,True,inventory_assembly,1,,,0,
BATCH-MPC,0,BATCH:BATCH-MPC,True,True,inventory_assembly,1,,,0,
BATCH-CHAI,0,BATCH:BATCH-CHAI,True,True,inventory_assembly,1,,,0,
BATCH-TWALK,0,BATCH:BATCH-TWALK,True,True,inventory_assembly,1,,,0,gm
BATCH,0,BATCH,True,True,inventory_assembly,1,,,0,
NB-LTD-CCAKE-SCRAP,0,Limited Batch - Carrot Cake Walnut Butter:NB Scrap - 1 oz,True,True,inventory_assembly,1,,,0,
BATCH-PPEC,0,BATCH:BATCH-PPEC,True,True,inventory_assembly,1,,,0,
NB-ALM,0,Almond Nut Butter,True,True,inventory_assembly,1,,,0,
BATCH-TCO,0,BATCH:BATCH-TCO,True,True,inventory_assembly,1,,,0,
BATCH-FGIN,0,BATCH:BATCH-FGIN,True,True,inventory_assembly,1,,,0,
NB-10OZ-CASE,0,"Nut Butter, 10 oz Case",True,True,inventory_assembly,1,12/10oz Case,,0,
NB-WAG,0,Wag Butter,True,True,inventory_assembly,1,,,0,
NB-WAG-13OZ,0,Wag Butter:13 oz Jar,True,True,inventory_assembly,6,13 oz jar,,17,oz
NB-WAG-4LB,0,Wag Butter:4# Bucket,True,True,inventory_assembly,1,4# Bucket,,0,
NB-WAG-8LB,0,Wag Butter:8# Bucket,True,True,inventory_assembly,1,8# Bucket,,0,
NB-WAG-SCRAP,0,Wag Butter:NB Scrap - 1 oz,True,True,inventory_assembly,1,1 oz,,0,
NB-13OZ-6PACK,0,"Nut Butter, 6-Pack 13 oz",True,True,inventory_assembly,1,,,0,
BATCH-CSS,0,BATCH:BATCH-CSS,True,True,inventory_assembly,1,,,0,
NB-GH-6PACK,0,"Nut Butter, 6-Pack 13 oz:GH-6PACK",True,True,inventory_assembly,1,,,0,
