sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,weight,weight_units
BATCH-BAR-CP,0,BATCH:BATCH-BAR-CP,True,1,,,0,
BATCH-CASH,0,BATCH:BATCH-CASH,True,1,,,0,
BATCH-Peanut-INACTIVE,0,BATCH:BATCH-PNUT,False,1,,,0,
BATCH-Peanut Pecan-INACTIVE,0,BATCH:BATCH-PPEC,False,1,,,0,
BATCH-MAMBA,0,BATCH:BATCH-MAMBA,True,1,,,0,
BATCH-Chai-INACTIVE,0,BATCH:BATCH-CHAI,False,1,,,0,
BATCH-Maple Cinnamon-INACTIVE,0,BATCH:BATCH-MPC,False,1,,,0,
BATCH-GGET,0,BATCH:BATCH-GGET,True,1,,,0,
BATCH-ALM,0,BATCH:BATCH-ALM,True,1,,,0,
BATCH-TCO,0,BATCH:BATCH-TCO,True,1,,,0,
BATCH-CSS,0,BATCH:BATCH-CSS,True,1,,,0,
BATCH-FGIN,0,BATCH:BATCH-FGIN,True,1,,,0,
BATCH-LTD-PEP,0,BATCH:BATCH-LTD-PEP,False,1,,,0,
BATCH-LTD-CCCG,0,BATCH:BATCH-LTD-CCCG,False,1,,,0,
BATCH-JUST-ALM,0,BATCH:BATCH-JUST-ALM,True,1,,,0,
BATCH-LTD-LCASH,0,BATCH:BATCH-LTD-LCASH,True,1,,,0,
BATCH-PCO,0,BATCH:BATCH-PCO,False,1,,,0,
BATCH-PCASH,0,BATCH:BATCH-PCASH,True,1,,,0,
BATCH-WAG,0,BATCH:BATCH-WAG,True,1,,,0,
NB-ALM,0,Almond Nut Butter,True,1,,,0,
NB-ALM-13OZ,3.96,Almond Nut Butter:13 oz Jar,True,6,13 oz Jar,,17,oz
NB-ALM-4LB,17.94,Almond Nut Butter:4# Bucket,False,1,4# Bucket,,6,lb
NB-ALM-8LB,34.99,Almond Nut Butter:8# Bucket,True,1,8# Bucket,,11,lb
NB-ALM-SCRAP,0,Almond Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-ALM-3OZ,0,Almond Nut Butter:3 oz Jar,True,12,3 oz jar,,0,
NB-CASH,0,Cashew Nut Butter,True,1,,,0,
NB-CASH-13OZ,5.18,Cashew Nut Butter:13 oz Jar,True,6,13 oz Jar,,1.5,lb
NB-CASH-4LB,24.06,Cashew Nut Butter:4# Bucket,True,1,4# Bucket,,6,lb
NB-CASH-8LB,47.23,Cashew Nut Butter:8# Bucket,True,1,8# Bucket,,0,
NB-CASH-SCRAP,0,Cashew Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-CHAI,0,Chai Spice Nut Butter,True,1,,,0,
NB-CHAI-13OZ,3.18,Chai Spice Nut Butter:13 oz Jar,True,6,13 oz Jar,,17,oz
NB-CHAI-3OZ,1.23,Chai Spice Nut Butter:3 oz Jar,True,12,3 oz Jar,,0,
NB-CHAI-4LB,14.24,Chai Spice Nut Butter:4# Bucket,True,1,4# Bucket,,6,lb
NB-CHAI-8LB,27.59,Chai Spice Nut Butter:8# Bucket,True,1,8# Bucket,,11,lb
NB-CHAI-SCRAP,0,Chai Spice Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-CSS,0,Chocolate Sea Salt Nut Butter,True,1,,,0,
NB-CSS-13OZ,4.7,Chocolate Sea Salt Nut Butter:13 oz Jar,True,6,13 oz Jar,,17,oz
NB-CSS-4LB,21.59,Chocolate Sea Salt Nut Butter:4# Bucket,True,1,4# Bucket,,6,lb
NB-CSS-8LB,42.29,Chocolate Sea Salt Nut Butter:8# Bucket,True,1,8# Bucket,,11,lb
NB-CSS-SCRAP,0,Chocolate Sea Salt Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-CSS-3OZ,0,Chocolate Sea Salt Nut Butter:3 oz Jar,True,12,3 oz jar,,0,
NB-FGIN,0,Fiji Ginger Nut Butter,True,1,,,0,
NB-FGIN-13OZ,4.37,Fiji Ginger Nut Butter:13 oz Jar,True,6,13 oz Jar,,17,oz
NB-FGIN-3OZ,1.51,Fiji Ginger Nut Butter:3 oz Jar,True,12,3 oz Jar,,0.5,
NB-FGIN-4LB,19.93,Fiji Ginger Nut Butter:4# Bucket,True,1,4# Bucket,,6,lb
NB-FGIN-8LB,38.97,Fiji Ginger Nut Butter:8# Bucket,True,1,8# Bucket,,11,lb
NB-FGIN-SCRAP,0,Fiji Ginger Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-GGET,0,GGet Espresso Nut Butter,True,1,,,0,
NB-GGET-13OZ,4.69,GGet Espresso Nut Butter:13 oz Jar,True,6,13 oz Jar,,17,oz
NB-GGET-4LB,21.65,GGet Espresso Nut Butter:4# Bucket,True,1,4# Bucket,,6,lb
NB-GGET-8LB,42.41,GGet Espresso Nut Butter:8# Bucket,True,1,8# Bucket,,12,lb
NB-GGET-SCRAP,0,GGet Espresso Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-JUSTALM,0,Just Almonds Nut Butter,True,1,,,0,
NB-JUSTALM-8LB,36.11,Just Almonds Nut Butter:8# Bucket,True,1,8# Bucket,,12,lb
NB-JUSTPNUT,0,Just Peanuts Nut Butter,True,1,,,0,
NB-JUSTPNUT-1LB,3.03,Just Peanuts Nut Butter:40# Bucket,True,1,,,0,
NB-LTD-PEP,0,Limited Batch - Pepperfest Peanut Nut Butter,True,1,,,0,
NB-LTD-PEP-10OZ,0,Limited Batch - Pepperfest Peanut Nut Butter:10 oz Jar,False,1,10 oz Jar,,0,
NB-MAMBA,0,Hot Mamba Nut Butter,True,1,,,0,
NB-MAMBA-13OZ,2.78,Hot Mamba Nut Butter:13 oz Jar,True,6,13 oz Jar,,17,oz
NB-MAMBA-4LB,12.15,Hot Mamba Nut Butter:4# Bucket,True,1,4# Bucket,,6,lb
NB-MAMBA-8LB,23.41,Hot Mamba Nut Butter:8# Bucket,True,1,8# Bucket,,11,lb
NB-MAMBA-SCRAP,0,Hot Mamba Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-MPC,0,Maple Cinnamon Nut Butter,True,1,,,0,
NB-MPC-13OZ,3,Maple Cinnamon Nut Butter:13 oz Jar,True,6,13 oz Jar,,17,oz
NB-MPC-3OZ,1.18,Maple Cinnamon Nut Butter:3 oz Jar,True,12,3 oz Jar,,0.5,
NB-MPC-4LB,13.26,Maple Cinnamon Nut Butter:4# Bucket,True,1,4# Bucket,,6,lb
NB-MPC-8LB,25.62,Maple Cinnamon Nut Butter:8# Bucket,True,1,8# Bucket,,11,lb
NB-MPC-SCRAP,0,Maple Cinnamon Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-PNUT,0,Peanut Nut Butter,True,1,,,0,
NB-PNUT-13OZ,2.69,Peanut Nut Butter:13 oz Jar,True,6,13 oz Jar,,17,oz
NB-PNUT-1LB,2.93,Peanut Nut Butter:1# Bucket,True,1,1# Bucket,,1,lb
NB-PNUT-3OZ,1.11,Peanut Nut Butter:3 oz Jar,True,12,3 oz Jar,,0.5,
NB-PNUT-4LB,11.73,Peanut Nut Butter:4# Bucket,True,1,4# Bucket,,6,lb
NB-PNUT-8LB,22.57,Peanut Nut Butter:8# Bucket,True,1,8# Bucket,,11,lb
NB-PNUT-SCRAP,0,Peanut Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-PPEC,0,Peanut Pecan Nut Butter,True,1,,,0,
NB-PPEC-13OZ,3.2,Peanut Pecan Nut Butter:13 oz Jar,True,6,13 oz Jar,,17,oz
NB-PPEC-3OZ,1.23,Peanut Pecan Nut Butter:3 oz Jar,False,1,3 oz Jar,,0.5,
NB-PPEC-4LB,14.25,Peanut Pecan Nut Butter:4# Bucket,True,1,4# Bucket,,6,lb
NB-PPEC-8LB,27.6,Peanut Pecan Nut Butter:8# Bucket,True,1,8# Bucket,,11,lb
NB-PPEC-SCRAP,0,Peanut Pecan Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-TCO,0,Toasted Coconut Nut Butter,True,1,,,0,
NB-TCO-13OZ,4,Toasted Coconut Nut Butter:13 oz Jar,True,6,13 oz Jar,,17,oz
NB-TCO-4LB,35.24,Toasted Coconut Nut Butter:4# Bucket,True,1,4# Bucket,,6,lb
NB-TCO-8LB,36.11,Toasted Coconut Nut Butter:8# Bucket,True,1,8# Bucket,,11,lb
NB-TCO-SCRAP,0,Toasted Coconut Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
NB-TCO-3OZ,0,Toasted Coconut Nut Butter:3 oz Jar,True,12,3 oz jar,,0,
NB-TWALK,0,Tigerwalk Espresso Nut Butter,True,1,,,0,
NB-TWALK-10OZ,0,Tigerwalk Espresso Nut Butter:10 oz Jar,True,1,10 oz Jar,,1.42,lb
NB-TWALK-SCRAP,0,Tigerwalk Espresso Nut Butter:NB Scrap - 1 oz,True,1,1 oz,,1,oz
BAR-AP,0,Apricot Pepita Nut Butter Bar,True,1,,,0,
BAR-AP-CASE,0,Apricot Pepita Nut Butter Bar:Case,True,1,12/60 g Bars,12.0,2,lb
BAR-AP-SINGLE,0,Apricot Pepita Nut Butter Bar:Bar,True,1,1/60g Bar,1.0,0.17,lb
BAR-AP-SCRAP,0,Apricot Pepita Nut Butter Bar:Bar Scrap - 100g,True,1,100g,,100,gm
BAR-CC,0,Cranberry Cashew Nut Butter Bar,True,1,,,0,
BAR-CC-CASE,0,Cranberry Cashew Nut Butter Bar:Case,True,1,12/60 g Bars,12.0,2,lb
BAR-CC-SINGLE,0,Cranberry Cashew Nut Butter Bar:Bar,True,1,1/60g Bar,1.0,0.17,lb
BAR-CC-SCRAP,0,Cranberry Cashew Nut Butter Bar:Bar Scrap - 100g,True,1,100g,,100,gm
BAR-CP,0,Cherry Pecan Nut Butter Bar,True,1,,,0,
BAR-CP-CASE,0,Cherry Pecan Nut Butter Bar:Case,True,1,12/60 g Bars,12.0,2,lb
BAR-CP-SINGLE,0,Cherry Pecan Nut Butter Bar:Bar,True,1,1/60g Bar,1.0,0.17,lb
BAR-CP-SCRAP,0,Cherry Pecan Nut Butter Bar:Bar Scrap - 100g,True,1,,,100,gm
BAR-FC,0,Figgy Chai Nut Butter Bar,True,1,,,0,
BAR-FC-CASE,0,Figgy Chai Nut Butter Bar:Case,True,1,12/60 g Bars,12.0,2,lb
BAR-FC-SINGLE,0,Figgy Chai Nut Butter Bar:Bar,True,1,1/60g Bar,1.0,0.17,lb
BAR-FC-SCRAP,0,Figgy Chai Nut Butter Bar:Bar Scrap - 100g,True,1,100g,,100,gm
BAR-VP,0,Bar Variety Pack,True,1,12/60 oz Bars,,0,
BAR-VP-CASE,0,Bar Variety Pack:Bar Variety Pack - Case,True,1,12/60 g Bars,12.0,1.15,lb
BAR-VP-GIFT,0,Bar Variety Pack:Bar Variety Pack - Gift Case,True,1,12/60 g Bars,12.0,1.15,lb
BAR-MASTERCASE,0,Bar Master Case,True,1,28/12 bar Cases,,0,
BAR-AP-MASTERCASE,0,Bar Master Case:Apricot Pepita,True,1,28/12 bar Cases,336.0,58,lb
BAR-CC-MASTERCASE,0,Bar Master Case:Cranberry Cashew,True,1,28/12 bar Cases,336.0,58,lb
BAR-CP-MASTERCASE,0,Bar Master Case:Cherry Pecan,True,1,28/12 bar Cases,336.0,58,lb
BAR-FC-MASTERCASE,0,Bar Master Case:Figgy Chai,True,1,28/12 bar Cases,336.0,58,lb
NB-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack",True,1,1/13oz Pack,,0,
NB-ALM-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Almond Butter",True,1,1/13oz Pack,,2,
NB-CASH-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Cashew Butter",False,1,1/13oz Pack,,2,
NB-CHAI-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Chai Spice",True,1,1/13oz Pack,,2,
NB-CSS-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Chocolate Sea Salt",True,1,1/13oz Pack,,2,
NB-FGIN-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Fiji Ginger",True,1,1/13oz Pack,,2,
NB-GGET-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:GGet Espresso",True,1,1/13oz Pack,,2,
NB-MAMBA-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Hot Mamba",True,1,1/13oz Pack,,2,
NB-MPC-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Maple Cinnamon",True,1,1/13oz Pack,,2,
NB-PNUT-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Peanut Butter",True,1,1/13oz Pack,,2,
